Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2024-03-21,XELB,8.5,8.5,8.0,8.399999618530273,8.399999618530273,-0.01176475076114425,5780
2024-03-22,XELB,8.09000015258789,8.300000190734863,7.5,7.920000076293945,7.920000076293945,-0.057142805242211714,3730
2024-03-25,XELB,8.300000190734863,8.300000190734863,7.315000057220459,7.695000171661377,7.695000171661377,-0.028409078594081816,860
2024-03-26,XELB,7.432000160217285,8.29800033569336,7.432000160217285,7.997000217437744,7.997000217437744,0.03924626888100047,1480
2024-03-27,XELB,8.29800033569336,8.300000190734863,7.702000141143799,7.702000141143799,7.702000141143799,-0.03688884184980856,4390
2024-03-28,XELB,8.086999893188477,8.199999809265137,7.5,7.800000190734863,7.800000190734863,0.012723974006122463,2290
2024-04-01,XELB,7.699999809265137,9.970000267028809,7.699999809265137,9.210000038146973,9.210000038146973,0.18076920678629738,13320
2024-04-02,XELB,9.0,9.5,8.211999893188477,8.800000190734863,8.800000190734863,-0.044516812781099646,21860
2024-04-03,XELB,9.0,9.0,8.0,8.5,8.5,-0.03409093002642438,4600
2024-04-04,XELB,8.5,8.899999618530273,8.0,8.489999771118164,8.489999771118164,-0.0011764975155100776,4130
2024-04-05,XELB,8.33899974822998,8.89900016784668,7.7789998054504395,8.0,8.0,-0.05771493337197453,5540
2024-04-08,XELB,8.211999893188477,8.899999618530273,7.802000045776367,8.0,8.0,0.0,2460
2024-04-09,XELB,8.399999618530273,8.5,7.802000045776367,7.892000198364258,7.892000198364258,-0.013499975204467773,2480
2024-04-10,XELB,8.0,8.00100040435791,7.724999904632568,7.800000190734863,7.800000190734863,-0.011657375230231581,3450
2024-04-11,XELB,7.999000072479248,8.5,7.400000095367432,7.546999931335449,7.546999931335449,-0.03243592989907074,7820
2024-04-12,XELB,7.565000057220459,8.496999740600586,7.5,7.550000190734863,7.550000190734863,0.0003975433187639599,11710
2024-04-15,XELB,7.650000095367432,7.650000095367432,7.333000183105469,7.5,7.5,-0.006622541651882585,1440
2024-04-16,XELB,7.550000190734863,7.800000190734863,7.333000183105469,7.4070000648498535,7.4070000648498535,-0.012399991353352902,9940
2024-04-17,XELB,7.5,7.5,7.300000190734863,7.300000190734863,7.300000190734863,-0.014445777396811632,1730
2024-04-18,XELB,7.38100004196167,7.699999809265137,6.699999809265137,6.699999809265137,6.699999809265137,-0.0821918309305314,3800
2024-04-19,XELB,6.855999946594238,7.150000095367432,6.849999904632568,7.0,7.0,0.04477614914555761,14700
2024-04-22,XELB,7.098999977111816,7.300000190734863,6.875,6.980000019073486,6.980000019073486,-0.0028571401323590484,5440
2024-04-23,XELB,6.800000190734863,6.955999851226807,6.711999893188477,6.752999782562256,6.752999782562256,-0.032521523766609106,3540
2024-04-24,XELB,7.089000225067139,7.099999904632568,6.800000190734863,7.099999904632568,7.099999904632568,0.05138458955179348,330
